Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J15,Conn_01x02_Female,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,171.5375,-61.425,180,top
R1,4k7,R_0402_1005Metric,174.1375,-109.065,90,top
R2,5k1,R_0402_1005Metric,152.0875,-134.525,-90,top
R3,5k1,R_0402_1005Metric,149.1375,-134.675,-90,top
R4,15k,R_0402_1005Metric,142.3975,-70.325,180,top
R5,15k,R_0402_1005Metric,159.6775,-108.725,90,top
R6,180,R_0402_1005Metric,135.3375,-73.025,-90,top
R7,1k5,R_0402_1005Metric,136.7375,-138.175,-90,top
R8,1k5,R_0402_1005Metric,135.6275,-138.135,-90,top
R9,2K2,R_0402_1005Metric,162.3875,-113.075,180,top
R11,150,R_0402_1005Metric,134.2875,-73.025,-90,top
R12,150,R_0402_1005Metric,133.2375,-73.025,-90,top
R13,180,R_0402_1005Metric,128.6875,-73.025,-90,top
R14,150,R_0402_1005Metric,127.6625,-73.025,-90,top
R15,150,R_0402_1005Metric,126.6375,-73.025,-90,top
R16,180,R_0402_1005Metric,138.6375,-73.025,90,top
R17,150,R_0402_1005Metric,137.5875,-73.025,90,top
R18,150,R_0402_1005Metric,136.5375,-73.025,90,top
R19,4k7,R_0402_1005Metric,166.2375,-99.205,0,top
R20,1k5,R_0402_1005Metric,117.0975,-138.035,-90,top
R21,1k5,R_0402_1005Metric,118.1075,-138.025,-90,top
R22,330,R_0402_1005Metric,125.9875,-116.675,0,top
R23,180,R_0402_1005Metric,131.9875,-73.025,90,top
R24,150,R_0402_1005Metric,130.9375,-73.025,90,top
R25,150,R_0402_1005Metric,129.8875,-73.025,90,top
R26,330,R_0402_1005Metric,125.9875,-118.625,0,top
R27,330,R_0402_1005Metric,125.9875,-120.625,0,top
R28,330,R_0402_1005Metric,126.0875,-122.725,0,top
R29,330,R_0402_1005Metric,125.9875,-128.575,0,top
R30,330,R_0402_1005Metric,125.9875,-124.725,0,top
R31,330,R_0402_1005Metric,125.9875,-126.675,0,top
R32,4k7,R_0402_1005Metric,147.4875,-87.525,90,top
R33,180,R_0402_1005Metric,131.3075,-65.625,-90,top
R34,150,R_0402_1005Metric,130.2175,-65.635,-90,top
R35,150,R_0402_1005Metric,129.1475,-65.625,-90,top
R36,1k,R_0402_1005Metric,137.9875,-101.945,-90,top
R37,2k,R_0402_1005Metric,137.9375,-104.875,-90,top
R38,10k,R_0402_1005Metric,138.5875,-99.435,-90,top
R39,6.8k,R_0402_1005Metric,139.9375,-99.425,-90,top
R40,1,R_0402_1005Metric,170.5975,-67.895,-90,top
R41,0,R_0402_1005Metric,137.1175,-132.905,180,top
SW1,SW_Push,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,117.0675,-61.375,90,top
SW2,SW_Push,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,163.9375,-61.175,90,top
SW3,SW_Push,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,158.6875,-61.225,90,top
U1,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,150.3875,-105.425,180,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,169.3875,-85.035,90,top
U3,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,155.9375,-123.895,90,top
U4,USBLC6-2P6,SOT-666,157.9375,-129.975,0,top
U5,STM32F091CCT6,LQFP-48_7x7mm_P0.5mm,172.5375,-98.125,90,top
U6,WM8960CGEFL/RV,QFN50P500X500X90-33N,166.84,-116.325,0,top
U11,ESP32-S3-WROOM-1-N8R2,ESP32-S3-WROOM-1U,153.2375,-76.2,0,top
U12,MCP73832-2-OT,SOT-23-5,135.5375,-103.875,-90,top
U13,BM14B(0.8)-24DS-0.4V(53),BM14B(0.B)-24DS-0.4V(53),138.1075,-131.035,90,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,171.9875,-106.125,0,top
